"Top values of all_text.keyword","Count of records"
"
Olha o Boulos aí...

Só  uma pequena pesquisa e você já  sai correndo dele!!

https://t.me/laylafiusa",20
"
😂 Blogueira da Globo diz que caso Boulos não vá para o segundo turno, o PSOL vai apoiar Nunes ...😅

“E eles acham o Marçal mais perigoso que Bolsonaro, inclusive!”

Está claro agora que Marçal não tem nenhum envolvimento com o dito ""SISTEMA"" ???",20
"
PRESTEM ATENÇÃO NESTAS PALAVRAS SABIAS 👆👆👆👆👆

NÃO VOTEM POR VINGANÇA, VOTEM CONSCIENTES. VAMOS DA UM PASSO DE CADA VEZ. 

VAMOS DE RICARDO NUNES, PORQUE BOULOS COMUNISTA, APOIADO DE TERRORISTAS - HAMAS SÓ SE VCS FOREM IGUAIS.",19
"
Como assim ? Isso não é crime eleitoral ? 

Esqueci é o Boulos de esquerda então tá tudo certo pode tudo

🔗 CENTRAL DO PABLO MARÇAL 𝕏 (@Centraldopablo)",17
"
Não vote no Boulos!",16
"https://www.clmbrasil.com.br/nunes-com-ampla-vantagem-sobre-boulos-nos-votos-validos-mostra-datafolha/

ENTREM NO CANAL 👇
https://t.me/clmbrasil
",16
"
A VERDADEIRA FACE DO BOULOS.",14
"
Esse é Boulos invasor de propriedades.

https://t.me/freedomnewsforyou 🇧🇷",14
"
Não consigo mesmo é confiar cegamente nessas urnas sem impressão do voto... 
Onde é que estavam ""escondidos"" os mais de 1 milhão de eleitores do Boulos que não ""quiseram"" comparecer ontem na manifestação do Boulos para o Lula, na Avenida Paulista?
🙄🤮🤨",14
"
• @sibeli.nicola Líder de movimento cobra “aluguel” de invasões. Essa denúncia, de 2017, mostra uma assessora do PT ameaçando despejar sem-tetos que não pagassem a taxa.

O que será que Boulos pensa disso?

https://t.me/freedomnewsforyou 🇧🇷",14
"
https://expressobrazilnews.blogspot.com/2024/10/em-debate-boulos-e-nunes-se-abracam.html",13
"
Boulos NÃO!",12
"
Entenderam agora o porquê do Marçal mostrar um documento falso contra Boulos e por conta disso perder a eleição? Tudo combinado!!! Agora seus eleitores votam em Boules e vão ajuda-lo ganhar a prefeitura de São Paulo.O teatro das tesouras em pleno vapor.",12
"
Então vc que ainda não estava entendendo...entendam agora ! 

AS DUAS OPÇÕES DO SISTEMA
RICARDO NUNES  E BOULOS .

PR. BOLSONARO,  AINDA DÁ TEMPO DE ABONDONAR ESSE RICARDO NUNES.
Ⓜ️🧢👊🏻🇧🇷",12
"
Grave erro cometeu o Boulos hoje segunda feira dia 07.10.2024. 
Deveria ser punido.",12
"
Nunes e Boulos são X@nd@o.

--------------------------------------------------------------------------------------------🇧🇷

SIGA NOSSO CANAL:
https://t.me/ForaComunas",12
"https://www.clmbrasil.com.br/nunes-derrota-boulos-e-reeleito-prefeito-de-sp-com-1-milhao-de-votos-de-diferenca/

ENTREM NO CANAL 👇
https://t.me/clmbrasil
",12
"
Nosssaaa, quem poderia imaginar em…

A vice do Pablo com o Boulos em uma grande amizade.",11
"
🚨 Urgente: Pablo Marçal divulga exame positivo para cocaína de Guilherme Boulos.",11
"
Povo de São Paulo, vá votar!!

Não deixe a cidade cair em mãos de um invasor bandido!!

Tenham amor por esta cidade que proporciona trabalho, oportunidades e riqueza para todos!!

Defendam sua cidade, Boulos ZERO VOTO!!!",10
"
Um apelo os eleitores do Pablo Marçal:

NÃO DEIXE A FRUSTRAÇÃO TIRAR SUA RAZÃO.  

No segundo turno em São Paulo, contra Boulos, é um dever moral votar no Nunes, nem que pra isso precisamos usar luvas e tapar o nariz.

Boulos NÃO PODE SER ELEITO.",10
"
🚨URGENTE: Pablo Marçal acaba de ter as postagens das provas que trouxe contra o Boulos, REMOVIDA pelo Instagram !! 

A postagem virou pó 🤯",10
"++ ALCKMIN: VOTEI NO BOULOS 'PELA MUDANÇA'

Pqp 🤬
",10
